"Customer ID","Product","Quantity","Unit Price (USD)","Total Price (USD)","Purchase Date","Customer Name","Industry","Annual Revenue (USD)","Number of Employees","Customer Priority Rating","Account Type","Location","Current Products","Product Usage (%)","Cross-Sell Synergy","Last Activity Date","Opportunity Stage"
"C004","Protective Gloves",2,500,1000,"2024-11-13","Grand Hotels & Resorts","Hospitality",500000000,5600,"High","Customer Direct","Chicago, IL, USA","Reporting Dashboard",65,"API Integrations,H","2024-11-19","Closed Won"
"C004","Drill Bits",6,100,600,"2024-09-04","Grand Hotels & Resorts","Hospitality",500000000,5600,"High","Customer Direct","Chicago, IL, USA","Reporting Dashboard",65,"API Integrations,H","2024-11-19","Closed Won"
"C004","Generators",5,1000,5000,"2024-12-12","Grand Hotels & Resorts","Hospitality",500000000,5600,"High","Customer Direct","Chicago, IL, USA","Reporting Dashboard",65,"API Integrations,H","2024-11-19","Closed Won"
"C004","Safety Gear",8,100,800,"2025-01-01","Grand Hotels & Resorts","Hospitality",500000000,5600,"High","Customer Direct","Chicago, IL, USA","Reporting Dashboard",65,"API Integrations,H","2024-11-19","Closed Won"
"C004","Backup Batteries",8,100,800,"2025-04-02","Grand Hotels & Resorts","Hospitality",500000000,5600,"High","Customer Direct","Chicago, IL, USA","Reporting Dashboard",65,"API Integrations,H","2024-11-19","Closed Won"
"C004","Generators",8,100,800,"2024-11-08","Grand Hotels & Resorts","Hospitality",500000000,5600,"High","Customer Direct","Chicago, IL, USA","Reporting Dashboard",65,"API Integrations,H","2024-11-19","Closed Won"
"C004","Generators",6,750,4500,"2024-11-19","Grand Hotels & Resorts","Hospitality",500000000,5600,"High","Customer Direct","Chicago, IL, USA","Reporting Dashboard",65,"API Integrations,H","2024-11-19","Closed Won"
"C004","Generators",3,100,300,"2025-01-26","Grand Hotels & Resorts","Hospitality",500000000,5600,"High","Customer Direct","Chicago, IL, USA","Reporting Dashboard",65,"API Integrations,H","2024-11-19","Closed Won"
"C004","API Integrations",9,1000,6000,"2025-02-28","Grand Hotels & Resorts","Hospitality",500000000,5600,"High","Customer Direct","Chicago, IL, USA","Reporting Dashboard",65,"API Integrations,H","2024-11-19","Closed Won"
"C005","Generators",5,250,1250,"2025-03-25","United Oil & Gas Corp.","Energy",5600000000,145000,"High","Customer-Direct","New York, NY, USA","Workflow Automation",60,"AI Insights Module,J","2024-11-19","Negotiation/Review"
"C005","Workflow Automation",5,500,2500,"2024-09-25","United Oil & Gas Corp.","Energy",5600000000,145000,"High","Customer Direct","New York, NY, USA","Workflow Automation",60,"AI Insights Module,J","2024-11-19","Negotiation/Review"
"C005","Safety Gear",3,100,300,"2025-01-01","United Oil & Gas Corp.","Energy",5600000000,145000,"High","Customer-Direct","New York, NY, USA","Workflow Automation",60,"AI Insights Module,J","2024-11-19","Negotiation/Review"
"C005","Drills",2,750,1500,"2024-11-06","United Oil & Gas Corp.","Energy",5600000000,145000,"High","Customer Direct","New York, NY, USA","Workflow Automation",60,"AI Insights Module,J","2024-11-19","Negotiation/Review"
"C005","Safety Gear",9,250,2250,"2024-12-04","United Oil & Gas Corp.","Energy",5600000000,145000,"High","Customer - Direct","New York, NY, USA","Workflow Automation",60,"AI Insights Module,J","2024-11-19","Negotiation/Review"
"C005","Collaboration Suite",9,500,4500,"2025-01-20","United Oil & Gas Corp.","Energy",5600000000,145000,"High","Customer-Direct","New York, NY, USA","Workflow Automation",60,"AI Insights Module,J","2024-11-19","Negotiation/Review"
"C005","Workflow Automation",2,250,500,"2024-12-03","United Oil & Gas Corp.","Energy",5600000000,145000,"High","Customer-Direct","New York, NY, USA","Workflow Automation",60,"AI Insights Module,J","2024-11-19","Negotiation/Review"
"C005","Collaboration Suite",2,250,500,"2024-07-25","United Oil & Gas Corp.","Energy",5600000000,145000,"High","Customer - Direct","New York, NY, USA","Workflow Automation",60,"AI Insights Module,J","2024-11-19","Negotiation/Review"
"C005","API Integrations",8,1000,8000,"2024-09-07","United Oil & Gas Corp.","Energy",5600000000,145000,"High","Customer - Direct","New York, NY, USA","Workflow Automation",60,"AI Insights Module,J","2024-11-19","Negotiation/Review"
